date,issued,da_am,m1_am,open_spread,stor_D1,gap_vol,gap_morning,vol21,p_up,confidence,pred,ref_trade,pilot_trade
2026-08-13,2026-08-14 13:28,59.93847933070866,59.954429090255296,-0.016,12.62,-1.102,0.331,0.211,0.3573,0.1427,-1,True,False
2026-08-14,2026-08-17 09:34,60.42,60.68791345772132,-0.268,28.58,-0.119,-0.108,0.21,0.3325,0.1675,-1,True,False
2026-08-17,2026-08-19 09:39,62.26136756756756,62.27653326007326,-0.015,-5.73,-0.497,0.222,0.211,0.4541,0.0459,-1,False,False
2026-08-18,2026-08-20 09:56,62.35228448275862,62.32688925589836,0.025,9.22,1.391,-0.215,0.235,0.4414,0.0586,-1,False,False
2026-08-19,2026-08-20 10:00,63.664548967551625,63.59415281596451,0.07,7.95,1.278,-0.209,0.235,0.4455,0.0545,-1,False,False
